4528	100
3311635	3311973	2	0	0	2
3312144	3314809	2	2	2	2
3333171	3334758	1	3	0	1
3334817	3335308	1	1	0	1
3335395	3336873	1	1	0	1
3337038	3337701	1	2	2	1
3337755	3338982	1	1	0	1
3339087	3340975	1	0	0	1
3373374	3399187	1	1	2	1
3383815	3399187	1	1	2	1
3399342	3402483	1	2	0	1
3402624	3406315	1	0	0	1
3406488	3408174	1	1	1	1
3408277	3412083	1	1	0	1
3412222	3414476	1	0	2	1
3414555	3415673	1	1	1	1
3415782	3416328	1	0	0	1
3416417	3418853	1	3	0	1
3419050	3420705	1	4	0	1
3420895	3421570	1	2	2	1
3421677	3425091	1	2	0	1
3425209	3426409	1	0	0	1
3426575	3428366	1	2	1	1
3428502	3430015	1	1	1	1
3430169	3431608	1	2	3	1
3431723	3431930	1	1	2	1
3432024	3433753	1	0	1	1
3434268	3435446	1	2	2	1
3507051	3509359	2	1	2	2
3509480	3514543	2	0	2	2
3514695	3516491	2	0	1	2
3516599	3517139	2	0	2	2
3517294	3519639	2	0	0	2
3519762	3520969	2	0	2	2
3521101	3521977	2	1	0	2
3522033	3523767	2	0	0	2
3523848	3528276	2	0	0	2
3523866	3528276	2	1	0	2
3523866	3534829	2	1	0	2
3528364	3534829	2	2	0	2
3534916	3536974	2	0	4	2
3537091	3540772	2	1	0	2
3540838	3542364	2	0	0	2
3542515	3543884	2	1	1	2
3544038	3546520	2	0	2	2
3546651	3557240	2	2	0	2
3557355	3561927	2	1	0	2
3562041	3564652	2	0	0	2
3564719	3568243	2	0	0	2
3568382	3571732	2	0	2	2
3571920	3576700	2	3	0	2
3576934	3594106	2	0	2	2
3576934	3625639	2	0	2	2
3577675	3594106	2	0	2	2
3594255	3625639	2	1	3	2
3635291	3636381	2	1	2	2
3636480	3640972	2	0	1	2
3641113	3641614	2	1	3	2
3641852	3643514	2	0	1	2
3643626	3647242	2	0	1	2
3647480	3650671	2	0	1	2
3650798	3652233	2	0	0	2
3652444	3654000	2	1	1	2
3654192	3655284	2	3	1	2
3655494	3660037	4	0	3	2
3678444	3680072	2	0	1	2
3697659	3699402	2	0	0	2
3699600	3702131	2	1	1	2
3740000	3756644	2	1	3	2
3756785	3758059	2	3	2	2
3763371	3769503	2	0	3	2
3763371	3769518	2	0	3	2
3764625	3765636	1	1	0	1
3818340	3832218	1	2	3	1
3818340	3836387	1	2	1	1
3832279	3836387	1	2	1	1
3836627	3843066	1	0	2	1
3852240	3852786	1	0	2	1
3852897	3854393	1	1	1	1
3854561	3854812	1	1	0	1
3854833	3854915	1	2	0	1
3855053	3864113	1	2	0	1
3892966	3893290	1	2	0	1
3902413	3914646	1	3	1	1
3914759	3934470	1	1	1	1
3925471	3925733	1	2	0	1
3925788	3931996	1	0	0	1
3925788	3934470	1	0	1	1
3934585	3935858	1	1	0	1
3935993	3936360	1	0	0	1
3936466	3937387	1	2	2	1
3937447	3939021	1	2	4	1
